verbo,rota,arquivo,linha,controller,guards,permissoes,recurso,cenario_executado,status_http,evidencia,regra_negocio_por_rota,id_achado
POST,/v1/admin/signup,apps/api/src/admin/admin.controller.ts,124,StaffAuthController,,,,Sem parâmetros/payload mínimo; saúde e catálogo público permitem leitura,400,EVIDENCIAS_PRE_GO_LIVE/rotas-publicas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/login,apps/api/src/admin/admin.controller.ts,177,StaffAuthController,,,,Sem parâmetros/payload mínimo; saúde e catálogo público permitem leitura,400,EVIDENCIAS_PRE_GO_LIVE/rotas-publicas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/logout,apps/api/src/admin/admin.controller.ts,244,OnboardingController,StaffGuard;PermissaoGuard,,,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/state,apps/api/src/admin/admin.controller.ts,251,OnboardingController,StaffGuard;PermissaoGuard,'appointments.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/templates,apps/api/src/admin/admin.controller.ts,334,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/business,apps/api/src/admin/admin.controller.ts,340,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/services,apps/api/src/admin/admin.controller.ts,371,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/professionals,apps/api/src/admin/admin.controller.ts,384,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/payments,apps/api/src/admin/admin.controller.ts,401,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/vitrine,apps/api/src/admin/admin.controller.ts,420,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/vitrine,apps/api/src/admin/admin.controller.ts,426,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/publish,apps/api/src/admin/admin.controller.ts,436,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/photos,apps/api/src/admin/admin.controller.ts,463,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/photos/upload,apps/api/src/admin/admin.controller.ts,480,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
DELETE,/v1/admin/photos/upload,apps/api/src/admin/admin.controller.ts,561,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/photos,apps/api/src/admin/admin.controller.ts,615,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/policies,apps/api/src/admin/admin.controller.ts,665,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/change-window,apps/api/src/admin/admin.controller.ts,674,OnboardingController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/recusas-online,apps/api/src/admin/admin.controller.ts,694,OnboardingController,StaffGuard;PermissaoGuard,'appointments.view';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/agenda/espera,apps/api/src/admin/agenda.controller.ts,141,AgendaController,StaffGuard;PermissaoGuard,'appointments.view';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
DELETE,/v1/admin/agenda/espera/:id,apps/api/src/admin/agenda.controller.ts,167,AgendaController,StaffGuard;PermissaoGuard,'appointments.cancel',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/agenda,apps/api/src/admin/agenda.controller.ts,182,AgendaController,StaffGuard;PermissaoGuard,'appointments.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/agenda/blocks,apps/api/src/admin/agenda.controller.ts,229,AgendaController,StaffGuard;PermissaoGuard,'appointments.create',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/agenda/exceptions,apps/api/src/admin/agenda.controller.ts,284,AgendaController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
DELETE,/v1/admin/agenda/exceptions/:id,apps/api/src/admin/agenda.controller.ts,338,AgendaController,StaffGuard;PermissaoGuard,'appointments.create',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/agenda/appointments/:id/move,apps/api/src/admin/agenda.controller.ts,375,AgendaController,StaffGuard;PermissaoGuard,'appointments.reschedule',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/alertas/preferencias,apps/api/src/admin/alertas.controller.ts,33,AlertasController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/alertas/preferencias,apps/api/src/admin/alertas.controller.ts,39,AlertasController,StaffGuard;PermissaoGuard,'settings.manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/planos,apps/api/src/admin/assinatura.controller.ts,128,AssinaturaController,StaffGuard;PermissaoGuard,'appointments.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/planos/contados,apps/api/src/admin/assinatura.controller.ts,135,AssinaturaController,StaffGuard;PermissaoGuard,'finance.view';'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/clube/planos,apps/api/src/admin/assinatura.controller.ts,141,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/clube/planos/:id,apps/api/src/admin/assinatura.controller.ts,168,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube,apps/api/src/admin/assinatura.controller.ts,197,AssinaturaController,StaffGuard;PermissaoGuard,'finance.view';'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/clientes/:id,apps/api/src/admin/assinatura.controller.ts,203,AssinaturaController,StaffGuard;PermissaoGuard,'customers.view';'finance.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/assinar,apps/api/src/admin/assinatura.controller.ts,212,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/:id/dependentes,apps/api/src/admin/assinatura.controller.ts,249,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/:id/dependentes,apps/api/src/admin/assinatura.controller.ts,262,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/:id/dependentes/remover,apps/api/src/admin/assinatura.controller.ts,281,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/:id/cancelar,apps/api/src/admin/assinatura.controller.ts,300,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/faturas,apps/api/src/admin/assinatura.controller.ts,330,AssinaturaController,StaffGuard;PermissaoGuard,'finance.view';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/faturas/:id/pagar,apps/api/src/admin/assinatura.controller.ts,350,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/faturas/:id/cancelar,apps/api/src/admin/assinatura.controller.ts,371,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/clube/:id/cartao,apps/api/src/admin/assinatura.controller.ts,397,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/:id/agendar-cancelamento,apps/api/src/admin/assinatura.controller.ts,423,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/simulacao,apps/api/src/admin/assinatura.controller.ts,457,AssinaturaController,StaffGuard;PermissaoGuard,'finance.view';'finance.view_profit',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/clube/rentabilidade,apps/api/src/admin/assinatura.controller.ts,477,AssinaturaController,StaffGuard;PermissaoGuard,'finance.view';'finance.view_profit';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/clube/modelo,apps/api/src/admin/assinatura.controller.ts,502,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage';'commission.edit_rules',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/clube/:id/desfazer-cancelamento,apps/api/src/admin/assinatura.controller.ts,523,AssinaturaController,StaffGuard;PermissaoGuard,'finance.subscription_manage',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/automacoes/fila,apps/api/src/admin/automacao.controller.ts,55,AutomacaoController,StaffGuard;PermissaoGuard,'marketing.send',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/automacoes,apps/api/src/admin/automacao.controller.ts,64,AutomacaoController,StaffGuard;PermissaoGuard,'marketing.send',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PATCH,/v1/admin/automacoes/estado,apps/api/src/admin/automacao.controller.ts,82,AutomacaoController,StaffGuard;PermissaoGuard,'marketing.send',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/automacoes,apps/api/src/admin/automacao.controller.ts,101,AutomacaoController,StaffGuard;PermissaoGuard,'marketing.send',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/avaliacoes,apps/api/src/admin/avaliacao.controller.ts,86,AvaliacaoController,StaffGuard;PermissaoGuard,'reviews.view';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/avaliacoes/clientes/:id,apps/api/src/admin/avaliacao.controller.ts,93,AvaliacaoController,StaffGuard;PermissaoGuard,'reviews.view';'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/avaliacoes/:id/tratar,apps/api/src/admin/avaliacao.controller.ts,110,AvaliacaoController,StaffGuard;PermissaoGuard,'reviews.recover',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/avaliacoes/:id/contestar,apps/api/src/admin/avaliacao.controller.ts,141,AvaliacaoController,StaffGuard;PermissaoGuard,'reviews.contest',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/avaliacoes/:id/retirar-contestacao,apps/api/src/admin/avaliacao.controller.ts,178,AvaliacaoController,StaffGuard;PermissaoGuard,'reviews.contest',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/notifications,apps/api/src/admin/avisos.controller.ts,26,AvisosController,StaffGuard;PermissaoGuard,'settings.manage','avisos',Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
PUT,/v1/admin/notifications,apps/api/src/admin/avisos.controller.ts,35,AvisosController,StaffGuard;PermissaoGuard,'settings.manage','avisos',Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/day,apps/api/src/admin/board.controller.ts,105,BoardController,StaffGuard;PermissaoGuard,'appointments.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/appointments/:id/attendance,apps/api/src/admin/board.controller.ts,142,BoardController,StaffGuard;PermissaoGuard,'appointments.attend',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/catalog,apps/api/src/admin/board.controller.ts,209,BoardController,StaffGuard;PermissaoGuard,'appointments.create',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/customers,apps/api/src/admin/board.controller.ts,224,BoardController,StaffGuard;PermissaoGuard,'customers.view',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/availability,apps/api/src/admin/board.controller.ts,234,BoardController,StaffGuard;PermissaoGuard,'appointments.create',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/appointments,apps/api/src/admin/board.controller.ts,276,BoardController,StaffGuard;PermissaoGuard,'appointments.create',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/cash,apps/api/src/admin/caixa.controller.ts,159,CaixaController,StaffGuard;PermissaoGuard,'cashier.open',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/cash/open,apps/api/src/admin/caixa.controller.ts,172,CaixaController,StaffGuard;PermissaoGuard,'cashier.open',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/cash/movements,apps/api/src/admin/caixa.controller.ts,192,CaixaController,StaffGuard;PermissaoGuard,'cashier.withdraw',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
POST,/v1/admin/cash/close,apps/api/src/admin/caixa.controller.ts,231,CaixaController,StaffGuard;PermissaoGuard,'cashier.close',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
GET,/v1/admin/orders/vendaveis,apps/api/src/admin/caixa.controller.ts,269,CaixaController,StaffGuard;PermissaoGuard,'cashier.open',,Sem credencial,401,EVIDENCIAS_PRE_GO_LIVE/rotas-anonimas.csv,Não inferir cobertura de fluxo a partir desta sonda; suites de domínio/API reportadas separadamente,
