"verbo","rota","arquivo","linha","guards","permissoes","recurso","estado"
"POST","/v1/admin/signup","apps/api/src/admin/admin.controller.ts","124","","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/login","apps/api/src/admin/admin.controller.ts","177","","","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/logout","apps/api/src/admin/admin.controller.ts","244","StaffGuard;PermissaoGuard","","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/state","apps/api/src/admin/admin.controller.ts","251","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/templates","apps/api/src/admin/admin.controller.ts","334","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/business","apps/api/src/admin/admin.controller.ts","340","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/services","apps/api/src/admin/admin.controller.ts","371","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/professionals","apps/api/src/admin/admin.controller.ts","384","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/payments","apps/api/src/admin/admin.controller.ts","401","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/vitrine","apps/api/src/admin/admin.controller.ts","420","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/vitrine","apps/api/src/admin/admin.controller.ts","426","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/publish","apps/api/src/admin/admin.controller.ts","436","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/photos","apps/api/src/admin/admin.controller.ts","463","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"POST","/v1/admin/photos/upload","apps/api/src/admin/admin.controller.ts","480","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/photos/upload","apps/api/src/admin/admin.controller.ts","561","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/photos","apps/api/src/admin/admin.controller.ts","615","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/policies","apps/api/src/admin/admin.controller.ts","665","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"PUT","/v1/admin/change-window","apps/api/src/admin/admin.controller.ts","674","StaffGuard;PermissaoGuard","'settings.manage'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/recusas-online","apps/api/src/admin/admin.controller.ts","694","StaffGuard;PermissaoGuard","'appointments.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/agenda/espera","apps/api/src/admin/agenda.controller.ts","141","StaffGuard;PermissaoGuard","'appointments.view';'customers.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
"DELETE","/v1/admin/agenda/espera/:id","apps/api/src/admin/agenda.controller.ts","167","StaffGuard;PermissaoGuard","'appointments.cancel'","","Inventariado; correlacionar com evidências, não implica rota testada"
"GET","/v1/admin/agenda","apps/api/src/admin/agenda.controller.ts","182","StaffGuard;PermissaoGuard","'appointments.view'","","Inventariado; correlacionar com evidências, não implica rota testada"
